epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17085,2.29321,0.01514,0.67117,0.60659,0.67195,0.42628,1.31855,1.38045,0.02889,0.000331811,0.000331811,0.0671507
2,1.11937,1.05731,0.01456,0.77837,0.72837,0.8018,0.65379,0.73622,0.83896,0.01533,0.000651975,0.000651975,0.0341375
3,1.03636,0.95632,0.01341,0.81983,0.82118,0.8707,0.67922,0.82138,0.72788,0.01646,0.000958938,0.000958938,0.00111115
4,1.02559,0.9176,0.01341,0.79191,0.75558,0.83691,0.69038,0.70377,0.82437,0.01392,0.0009406,0.0009406,0.0009406
5,0.99183,0.83661,0.01293,0.85236,0.82848,0.89048,0.73203,0.7192,0.62308,0.01482,0.0009208,0.0009208,0.0009208
6,0.98154,0.79147,0.01274,0.84985,0.83606,0.89528,0.74551,0.68065,0.61323,0.01344,0.000901,0.000901,0.000901
7,0.93652,0.7364,0.01196,0.79851,0.8238,0.87502,0.72196,0.68715,0.70129,0.01367,0.0008812,0.0008812,0.0008812
8,0.90558,0.7009,0.01157,0.86543,0.84554,0.91091,0.77439,0.60501,0.53802,0.01219,0.0008614,0.0008614,0.0008614
9,0.84043,0.6457,0.0108,0.89301,0.8526,0.92581,0.79152,0.61048,0.51345,0.01232,0.0008416,0.0008416,0.0008416
10,0.79875,0.62284,0.01017,0.7926,0.81097,0.85998,0.74056,0.58096,0.72872,0.01189,0.0008218,0.0008218,0.0008218
11,0.80188,0.62695,0.01017,0.88958,0.86982,0.92368,0.81448,0.54078,0.47688,0.01034,0.000802,0.000802,0.000802
12,0.77265,0.58076,0.00987,0.85805,0.87638,0.91761,0.80533,0.52738,0.51787,0.0099,0.0007822,0.0007822,0.0007822
13,0.75252,0.57877,0.00957,0.86295,0.85192,0.90125,0.80517,0.50327,0.60085,0.00973,0.0007624,0.0007624,0.0007624
